DATE,TV,Google Ads,Social Media,Radio,Print,Seasonality,Trend,Macroeconomic,Sales
2020-01-01,114901.42,113258.22,112241.59,149102.2,80169.25,0.02,1.0,1.0,504945.52
2020-01-02,95852.07,67288.03,116523.93,94500.98,84551.84,0.03,1.0,1.0,534514.81
2020-01-03,119430.66,142327.97,113343.21,99406.17,86299.07,0.05,1.01,1.0,469509.23
2020-01-04,145690.9,97042.36,75230.39,85530.59,110169.81,0.07,1.01,1.0,543034.03
2020-01-05,92975.4,100565.49,104480.9,132969.5,113687.48,0.09,1.02,1.0,568529.1
2020-01-06,92975.89,121246.43,110924.21,158795.12,8660.3,0.1,1.02,1.01,584152.14
2020-01-07,147376.38,106996.48,100215.35,113518.39,130649.06,0.12,1.03,1.01,628135.88
2020-01-08,123023.04,128594.1,37405.67,102483.19,143091.04,0.14,1.03,1.01,544013.02
2020-01-09,85915.77,108613.72,104814.69,101103.48,68494.4,0.15,1.04,1.01,549869.73
2020-01-10,116276.8,81626.88,166375.93,28470.8,70831.05,0.17,1.04,1.01,464397.02
2020-01-11,86097.47,110845.11,89198.82,122354.53,86492.4,0.19,1.05,1.01,518381.5
2020-01-12,86028.11,65688.21,78157.69,104024.99,77319.88,0.21,1.06,1.01,539708.48
2020-01-13,107258.87,103256.79,111200.46,112850.26,106717.81,0.22,1.06,1.01,606302.98
2020-01-14,42601.59,99003.1,109371.35,78656.13,41604.24,0.24,1.06,1.01,527674.06
2020-01-15,48252.47,93756.49,135782.05,88466.29,66462.17,0.26,1.07,1.01,602490.83
2020-01-16,83131.37,96143.87,62263.96,87669.25,146175.92,0.27,1.08,1.01,567054.15
2020-01-17,69615.07,43544.53,121941.41,130648.69,72153.4,0.29,1.08,1.01,562749.23
2020-01-18,109427.42,83538.25,117712.66,88637.2,137302.85,0.3,1.08,1.02,588535.32
2020-01-19,72759.28,102785.35,95735.6,162479.81,110660.15,0.32,1.09,1.02,561025.37
2020-01-20,57630.89,104795.69,110160.62,112925.87,45721.97,0.34,1.1,1.02,563632.82
2020-01-21,143969.46,69169.75,130883.72,61729.52,119059.88,0.35,1.1,1.02,504355.32
2020-01-22,93226.71,137971.24,126169.46,96143.61,96469.98,0.37,1.1,1.02,581714.42
2020-01-23,102025.85,74014.75,65709.42,80449.75,86335.99,0.39,1.11,1.02,574637.86
2020-01-24,57257.55,129083.72,124604.75,34168.53,107348.71,0.4,1.12,1.02,577367.71
2020-01-25,83668.52,112815.83,98059.34,147984.13,114239.0,0.42,1.12,1.02,628546.31
2020-01-26,103327.68,80613.18,102186.22,121094.28,121227.75,0.43,1.12,1.02,645174.64
2020-01-27,65470.19,153259.33,102195.91,115996.22,135347.59,0.45,1.13,1.02,628397.1
2020-01-28,111270.94,64190.9,95492.71,104962.11,112244.08,0.46,1.14,1.02,671105.37
2020-01-29,81980.84,127574.63,135751.22,58539.47,58730.98,0.48,1.14,1.02,654662.36
2020-01-30,91249.19,130017.47,97488.46,85491.49,85790.64,0.49,1.14,1.02,615682.59
2020-01-31,81948.8,79881.39,66413.62,125253.42,188291.45,0.51,1.15,1.03,611844.34
2020-02-01,155568.35,141773.96,88194.1,68463.4,121734.73,0.52,1.16,1.03,655180.09
2020-02-02,99595.08,92498.6,105360.84,24046.92,171078.62,0.54,1.16,1.03,672777.95
2020-02-03,68268.67,108660.81,136876.44,93186.82,141863.02,0.55,1.16,1.03,718530.91
2020-02-04,124676.35,107809.66,118092.84,95747.27,107254.06,0.57,1.17,1.03,712743.79
2020-02-05,63374.69,95970.74,74483.94,104066.9,109042.21,0.58,1.18,1.03,630654.39
2020-02-06,106265.91,124324.25,174555.7,121855.56,98902.6,0.59,1.18,1.03,657166.64
2020-02-07,41209.9,123804.66,107943.26,119128.17,47865.86,0.61,1.18,1.03,700351.28
2020-02-08,60154.42,47544.04,138261.72,107763.09,100541.42,0.62,1.19,1.03,724727.9
2020-02-09,105905.84,139130.21,95448.57,135865.94,136320.24,0.64,1.2,1.03,722797.53
2020-02-10,122154.0,50125.24,116000.78,54430.91,82010.8,0.65,1.2,1.03,677168.12
2020-02-11,105141.05,130976.39,125184.06,115137.45,112358.59,0.66,1.2,1.03,622165.7
2020-02-12,96530.55,133801.15,136545.84,118796.15,125547.73,0.67,1.21,1.03,639415.22
2020-02-13,90966.89,67271.01,131721.05,62813.13,72709.59,0.69,1.22,1.03,707478.42
2020-02-14,55644.34,87675.57,126165.91,54913.88,86460.91,0.7,1.22,1.03,715431.72
2020-02-15,78404.67,66828.86,90547.4,77621.74,69462.66,0.71,1.23,1.04,647848.14
2020-02-16,86180.84,93552.37,82847.62,80153.76,75335.03,0.72,1.23,1.04,709459.4
2020-02-17,131713.67,90758.97,109978.23,122602.58,61371.84,0.74,1.24,1.04,743227.19
2020-02-18,110308.55,123389.82,127993.84,81563.84,72986.55,0.75,1.24,1.04,658524.9
2020-02-19,47108.8,139309.26,93318.38,74309.54,142583.67,0.76,1.25,1.04,775740.71
2020-02-20,109722.52,141870.51,131955.16,81650.99,72535.69,0.77,1.25,1.04,706002.61
2020-02-21,88447.53,83134.96,143578.5,133558.97,103793.78,0.78,1.25,1.04,792130.67
2020-02-22,79692.34,93723.34,72510.37,100391.3,84913.94,0.79,1.26,1.04,706929.96
2020-02-23,118350.29,49496.85,74892.38,94622.47,135365.98,0.8,1.27,1.04,686604.85
2020-02-24,130929.99,75823.9,95788.75,96699.84,139334.87,0.81,1.27,1.04,719342.95
2020-02-25,127938.4,128945.55,109228.38,138761.81,125922.1,0.82,1.27,1.04,741785.23
2020-02-26,74823.47,148467.48,84262.99,77524.85,109184.04,0.83,1.28,1.04,731389.51
2020-02-27,90723.63,62969.53,140566.08,139465.25,93068.21,0.84,1.28,1.04,744261.79
2020-02-28,109937.9,82226.07,112722.01,106314.89,64243.76,0.85,1.29,1.04,775985.02
2020-02-29,129266.35,99207.83,101183.41,95187.42,158305.87,0.86,1.3,1.04,754928.43
2020-03-01,85624.77,108404.83,56922.71,175027.01,77209.81,0.87,1.3,1.04,764357.05
2020-03-02,94430.23,75711.89,60525.53,68330.82,119909.39,0.88,1.3,1.04,686350.58
2020-03-03,66809.95,112721.83,108430.28,89389.43,131786.97,0.88,1.31,1.04,795519.31
2020-03-04,64113.8,85784.82,36022.13,63027.06,83341.59,0.89,1.32,1.04,775568.68
2020-03-05,124375.77,99566.43,130379.12,128573.86,131140.38,0.9,1.32,1.04,864609.88
2020-03-06,140687.2,116388.53,95255.38,150675.67,122926.4,0.91,1.32,1.05,741153.64
